wavelength,mean_flux,mean_err
1021.5,3.290800007320717,3.6449541046108602
1023.0,5.320004307652676,3.702236780898493
1024.5,2.819928643764584,2.4796085772023013
1026.0,6.8755353392794225,3.811360934428988
1027.5,6.239474080145758,3.4431638051554754
1029.0,7.805850406546139,3.524719948201288
1030.5,5.6872260596031445,3.6379186694190877
1032.0,3.2234986592959007,2.559876991248472
1033.5,6.071762537163131,3.4349418794592848
1035.0,4.842411076723752,2.8999539996016264
1036.5,7.147944588936404,2.57619032774183
1038.0,7.9104327994427095,3.1713424975499973
1039.5,5.661783930714338,3.6437713473884794
1041.0,4.384501513928234,2.1014362879884674
1042.5,3.656543466920494,2.16522958029385
1044.0,6.112430924449755,2.6594959313445354
1045.5,5.863205181443192,3.3596127317303495
1047.0,2.8698180433190026,1.7310886459970911
1048.5,5.007884604632648,2.0437316309489604
1050.0,7.64212135502375,3.4892299095159625
1051.5,2.74213921850915,2.531216682604925
1053.0,5.650386270443943,2.886396033869268
1054.5,10.094477685971473,3.50370857367252
1056.0,4.034405797348923,2.181780219935575
1057.5,5.99501204055328,2.920139562284675
1059.0,2.4468227120552717,2.016162400283473
1060.5,3.6972916475469297,2.6912084563105343
1062.0,5.120475126010546,2.587736472802098
1063.5,6.797755869549698,2.408641620660268
1065.0,6.3951085619099794,2.63947158050966
1066.5,5.893075360822973,2.639269897349521
1068.0,3.3102879195410737,1.6569863971986318
1069.5,5.9431335214835395,2.6032017348450767
1071.0,4.029103211952616,2.1854249190884767
1072.5,4.627946939909172,2.131432715968382
1074.0,6.4585010326494325,2.5727081954707915
1075.5,7.728639798721576,2.3255818885952197
1077.0,3.190028300629807,1.6773664710168832
1078.5,5.428218046242317,1.900298227409543
1080.0,3.6186687089047855,2.174975890124559
1081.5,4.857623431345151,1.9943595567468162
1083.0,4.042854936639043,2.0608629387464092
1084.5,3.7941432239025183,1.9816359895290239
1086.0,2.8814484209381135,1.595356699443209
1087.5,5.932679464557544,2.2085608553925273
1089.0,4.094277195302472,1.9832286054103279
1090.5,5.544653191872339,1.9173671394024872
1092.0,4.930780636931098,2.0214411177414875
1093.5,4.116384044086247,1.8900828881649978
1095.0,3.1391893465159506,1.6939988664051873
1096.5,2.279208502984347,1.4970945652152128
1098.0,3.269924975331888,1.4246530359628358
1099.5,3.8880893220332475,1.6398845495378704
1101.0,4.673687453631245,1.431266706576368
1102.5,6.034744480008222,1.974009480291732
1104.0,1.914438181716034,1.6701502499112688
1105.5,5.425102549250102,2.12535604864131
1107.0,2.3153070431538283,1.5274153992330814
1108.5,5.474945180111302,1.9219997873174368
1110.0,4.60266525125642,1.7622895796274065
1111.5,4.025543476265488,1.6228533760540598
1113.0,2.740641712282129,1.4199432009820507
1114.5,1.2851848327341182,0.8655550223333678
1116.0,3.389622033275012,1.7756074834573174
1117.5,3.9633556904855474,1.7585217909028008
1119.0,2.2047108407121487,1.5925961456625946
1120.5,3.7846855991002406,1.7230670808487523
1122.0,3.631867144924557,1.6478033000184906
1123.5,3.444111686966357,1.7569890370758674
1125.0,2.89605621784987,1.3143267351457537
1126.5,1.8549053034651573,1.5507364858553132
1128.0,5.232004454205196,1.7149911647843572
